run_id,escenario,replica,dia,ubicacion,tipo_ubicacion,producto,capacidad_tn,stock_inicial_dia_tn,stock_fisico_tn,stock_libre_tn,stock_reservado_pedidos_tn,stock_reservado_viajes_tn,stock_en_transito_entrada_tn,stock_en_transito_salida_tn,ingresos_dia_tn,egresos_dia_tn,produccion_dia_tn,ocupacion_pct,costo_almacenaje_dia_usd,dias_stock_promedio,lotes_abiertos,lote_mas_antiguo_dias,descuadre_tn
E-00-R0,E-00,0,1,PLANTA_NORTE,PLANTA,UREA,2000.0,1200.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,144.0,1,1,1,0.0
E-00-R0,E-00,0,2,PLANTA_NORTE,PLANTA,UREA,2000.0,1200.0,1320.0,1320.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,66.0,158.4,2,1,2,0.0
E-00-R0,E-00,0,3,PLANTA_NORTE,PLANTA,UREA,2000.0,1320.0,940.0,940.0,0.0,0.0,0.0,0.0,120.0,500.0,120.0,47.0,112.8,3,1,3,0.0
E-00-R0,E-00,0,4,PLANTA_NORTE,PLANTA,UREA,2000.0,940.0,1060.0,1060.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,53.0,127.2,4,1,4,0.0
E-00-R0,E-00,0,5,PLANTA_NORTE,PLANTA,UREA,2000.0,1060.0,1180.0,1180.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,59.0,141.6,5,1,5,0.0
E-00-R0,E-00,0,1,DEPOSITO_SUR,DEPOSITO,MAP,1500.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.67,84.0,1,1,1,0.0
E-00-R0,E-00,0,2,DEPOSITO_SUR,DEPOSITO,MAP,1500.0,700.0,780.0,780.0,0.0,0.0,0.0,0.0,80.0,0.0,80.0,52.0,93.6,2,1,2,0.0
E-00-R0,E-00,0,3,DEPOSITO_SUR,DEPOSITO,MAP,1500.0,780.0,860.0,860.0,0.0,0.0,0.0,0.0,80.0,0.0,80.0,57.33,103.2,3,1,3,0.0
E-00-R0,E-00,0,4,DEPOSITO_SUR,DEPOSITO,MAP,1500.0,860.0,640.0,640.0,0.0,0.0,0.0,0.0,80.0,300.0,80.0,42.67,76.8,4,1,4,0.0
E-00-R0,E-00,0,5,DEPOSITO_SUR,DEPOSITO,MAP,1500.0,640.0,720.0,720.0,0.0,0.0,0.0,0.0,80.0,0.0,80.0,48.0,86.4,5,1,5,0.0
